ano,mes,estado,regiao,bioma,focos_calor,area_estimada_ha,risco_fogo_medio
2020,8,Amapá,Norte,Amazônia,400,5711.3,0.7
2020,9,Pará,Norte,Amazônia,1610,28038.6,0.57
2020,9,Mato Grosso,Centro-Oeste,Amazônia,1903,36261.0,0.72
2020,9,Amazonas,Norte,Amazônia,1079,9501.5,0.6
2020,9,Tocantins,Norte,Cerrado,613,12522.3,0.81
2020,9,Maranhão,Nordeste,Cerrado,803,8031.5,0.65
2020,9,Acre,Norte,Amazônia,764,7193.6,0.78
2020,9,Rondônia,Norte,Amazônia,821,7404.3,0.63
2020,9,Bahia,Nordeste,Caatinga,649,5931.1,0.74
2020,9,Goiás,Centro-Oeste,Cerrado,552,10697.3,0.56
2020,9,Minas Gerais,Sudeste,Cerrado,727,6665.9,0.78
2020,9,Mato Grosso do Sul,Centro-Oeste,Pantanal,685,9548.3,0.79
2020,9,Piauí,Nordeste,Caatinga,520,7571.8,0.67
2020,9,São Paulo,Sudeste,Mata Atlântica,624,11509.4,0.6
2020,9,Roraima,Norte,Amazônia,535,7087.8,0.68
2020,9,Amapá,Norte,Amazônia,397,4418.7,0.64
2020,10,Pará,Norte,Amazônia,1571,34407.3,0.67
2020,10,Mato Grosso,Centro-Oeste,Amazônia,1342,28947.3,0.53
2020,10,Amazonas,Norte,Amazônia,1203,21341.8,0.63
2020,10,Tocantins,Norte,Cerrado,1077,17426.3,0.53
2020,10,Maranhão,Nordeste,Cerrado,730,12177.8,0.67
2020,10,Acre,Norte,Amazônia,461,6680.7,0.54
2020,10,Rondônia,Norte,Amazônia,736,6689.0,0.45
2020,10,Bahia,Nordeste,Caatinga,494,6092.7,0.74
2020,10,Goiás,Centro-Oeste,Cerrado,650,6679.8,0.67
2020,10,Minas Gerais,Sudeste,Cerrado,497,10465.9,0.74
2020,10,Mato Grosso do Sul,Centro-Oeste,Pantanal,505,9770.6,0.57
2020,10,Piauí,Nordeste,Caatinga,300,6473.6,0.7
2020,10,São Paulo,Sudeste,Mata Atlântica,488,7106.1,0.62
2020,10,Roraima,Norte,Amazônia,276,2425.8,0.54
2020,10,Amapá,Norte,Amazônia,292,6422.8,0.62
2020,11,Pará,Norte,Amazônia,776,14562.3,0.45
2020,11,Mato Grosso,Centro-Oeste,Amazônia,622,6100.7,0.32
2020,11,Amazonas,Norte,Amazônia,436,4883.6,0.49
2020,11,Tocantins,Norte,Cerrado,462,6012.6,0.57
2020,11,Maranhão,Nordeste,Cerrado,394,6022.0,0.39
2020,11,Acre,Norte,Amazônia,277,5520.8,0.57
2020,11,Rondônia,Norte,Amazônia,425,8616.1,0.59
2020,11,Bahia,Nordeste,Caatinga,190,1596.6,0.42
2020,11,Goiás,Centro-Oeste,Cerrado,329,5875.0,0.56
2020,11,Minas Gerais,Sudeste,Cerrado,300,2461.1,0.42
2020,11,Mato Grosso do Sul,Centro-Oeste,Pantanal,304,4101.4,0.31
2020,11,Piauí,Nordeste,Caatinga,252,3244.6,0.44
2020,11,São Paulo,Sudeste,Mata Atlântica,295,3997.7,0.45
2020,11,Roraima,Norte,Amazônia,228,4854.9,0.47
2020,11,Amapá,Norte,Amazônia,96,1385.1,0.44
2020,12,Pará,Norte,Amazônia,465,5860.2,0.42
2020,12,Mato Grosso,Centro-Oeste,Amazônia,302,2736.8,0.44
2020,12,Amazonas,Norte,Amazônia,205,2632.1,0.43
2020,12,Tocantins,Norte,Cerrado,230,3989.5,0.46
2020,12,Maranhão,Nordeste,Cerrado,205,1757.3,0.35
2020,12,Acre,Norte,Amazônia,147,1540.3,0.32
2020,12,Rondônia,Norte,Amazônia,138,1807.8,0.37
2020,12,Bahia,Nordeste,Caatinga,189,1616.0,0.39
2020,12,Goiás,Centro-Oeste,Cerrado,193,1764.9,0.48
2020,12,Minas Gerais,Sudeste,Cerrado,191,3683.8,0.37
2020,12,Mato Grosso do Sul,Centro-Oeste,Pantanal,133,1453.8,0.43
2020,12,Piauí,Nordeste,Caatinga,123,2048.6,0.2
2020,12,São Paulo,Sudeste,Mata Atlântica,123,2271.1,0.21
2020,12,Roraima,Norte,Amazônia,128,1940.9,0.41
2020,12,Amapá,Norte,Amazônia,69,984.2,0.39
2021,1,Pará,Norte,Amazônia,190,2236.2,0.37
2021,1,Mato Grosso,Centro-Oeste,Amazônia,219,2739.5,0.35
2021,1,Amazonas,Norte,Amazônia,130,1258.0,0.26
2021,1,Tocantins,Norte,Cerrado,139,2433.5,0.42
2021,1,Maranhão,Nordeste,Cerrado,128,1179.8,0.47
2021,1,Acre,Norte,Amazônia,133,2452.0,0.43
2021,1,Rondônia,Norte,Amazônia,87,1041.6,0.34
2021,1,Bahia,Nordeste,Caatinga,100,1599.1,0.25
2021,1,Goiás,Centro-Oeste,Cerrado,76,716.3,0.4
2021,1,Minas Gerais,Sudeste,Cerrado,103,1055.7,0.3
2021,1,Mato Grosso do Sul,Centro-Oeste,Pantanal,78,813.3,0.28
2021,1,Piauí,Nordeste,Caatinga,41,891.9,0.41
2021,1,São Paulo,Sudeste,Mata Atlântica,76,1639.5,0.28
2021,1,Roraima,Norte,Amazônia,69,801.1,0.37
2021,1,Amapá,Norte,Amazônia,52,1092.6,0.27
2021,2,Pará,Norte,Amazônia,313,3730.9,0.47
2021,2,Mato Grosso,Centro-Oeste,Amazônia,171,2142.9,0.39
2021,2,Amazonas,Norte,Amazônia,132,1504.0,0.12
2021,2,Tocantins,Norte,Cerrado,120,1444.9,0.27
2021,2,Maranhão,Nordeste,Cerrado,87,1282.0,0.36
2021,2,Acre,Norte,Amazônia,70,889.9,0.35
2021,2,Rondônia,Norte,Amazônia,81,1420.8,0.4
2021,2,Bahia,Nordeste,Caatinga,75,1095.2,0.46
2021,2,Goiás,Centro-Oeste,Cerrado,59,1239.8,0.26
2021,2,Minas Gerais,Sudeste,Cerrado,102,2156.0,0.29
2021,2,Mato Grosso do Sul,Centro-Oeste,Pantanal,82,1622.4,0.47
2021,2,Piauí,Nordeste,Caatinga,68,735.9,0.31
2021,2,São Paulo,Sudeste,Mata Atlântica,64,1241.9,0.32
2021,2,Roraima,Norte,Amazônia,60,781.4,0.51
2021,2,Amapá,Norte,Amazônia,39,757.9,0.42
2021,3,Pará,Norte,Amazônia,135,1954.5,0.26
2021,3,Mato Grosso,Centro-Oeste,Amazônia,216,3248.2,0.27
2021,3,Amazonas,Norte,Amazônia,124,1658.4,0.32
2021,3,Tocantins,Norte,Cerrado,124,2075.7,0.35
2021,3,Maranhão,Nordeste,Cerrado,75,746.2,0.43
2021,3,Acre,Norte,Amazônia,81,1252.9,0.44
2021,3,Rondônia,Norte,Amazônia,88,890.9,0.36
2021,3,Bahia,Nordeste,Caatinga,51,939.2,0.28
2021,3,Goiás,Centro-Oeste,Cerrado,82,1531.3,0.3
2021,3,Minas Gerais,Sudeste,Cerrado,84,1637.8,0.41
2021,3,Mato Grosso do Sul,Centro-Oeste,Pantanal,67,1283.9,0.26
2021,3,Piauí,Nordeste,Caatinga,55,996.1,0.3
2021,3,São Paulo,Sudeste,Mata Atlântica,74,1310.9,0.45
2021,3,Roraima,Norte,Amazônia,37,475.1,0.36
2021,3,Amapá,Norte,Amazônia,26,376.2,0.46
2021,4,Pará,Norte,Amazônia,236,3908.2,0.55
2021,4,Mato Grosso,Centro-Oeste,Amazônia,198,3515.1,0.4
2021,4,Amazonas,Norte,Amazônia,131,1327.8,0.38
2021,4,Tocantins,Norte,Cerrado,153,2132.5,0.45
2021,4,Maranhão,Nordeste,Cerrado,113,2368.2,0.35
2021,4,Acre,Norte,Amazônia,66,1438.0,0.33
2021,4,Rondônia,Norte,Amazônia,133,1806.9,0.39
2021,4,Bahia,Nordeste,Caatinga,66,1269.8,0.31
2021,4,Goiás,Centro-Oeste,Cerrado,100,2087.8,0.16
2021,4,Minas Gerais,Sudeste,Cerrado,74,1356.1,0.24
2021,4,Mato Grosso do Sul,Centro-Oeste,Pantanal,55,788.4,0.32
2021,4,Piauí,Nordeste,Caatinga,61,913.6,0.32
2021,4,São Paulo,Sudeste,Mata Atlântica,78,1019.7,0.33
2021,4,Roraima,Norte,Amazônia,76,621.9,0.43
2021,4,Amapá,Norte,Amazônia,33,708.0,0.38
2021,5,Pará,Norte,Amazônia,291,2675.7,0.27
2021,5,Mato Grosso,Centro-Oeste,Amazônia,260,4247.2,0.37
2021,5,Amazonas,Norte,Amazônia,168,1837.7,0.36
2021,5,Tocantins,Norte,Cerrado,149,1589.8,0.37
2021,5,Maranhão,Nordeste,Cerrado,146,2322.5,0.31
2021,5,Acre,Norte,Amazônia,133,1884.7,0.14
2021,5,Rondônia,Norte,Amazônia,149,1515.8,0.19
2021,5,Bahia,Nordeste,Caatinga,96,2039.6,0.34
2021,5,Goiás,Centro-Oeste,Cerrado,86,1463.4,0.3
2021,5,Minas Gerais,Sudeste,Cerrado,120,1222.3,0.35
2021,5,Mato Grosso do Sul,Centro-Oeste,Pantanal,117,980.4,0.46
2021,5,Piauí,Nordeste,Caatinga,74,1288.1,0.3
2021,5,São Paulo,Sudeste,Mata Atlântica,83,1422.5,0.4
2021,5,Roraima,Norte,Amazônia,71,809.7,0.34
2021,5,Amapá,Norte,Amazônia,62,1216.6,0.39
2021,6,Pará,Norte,Amazônia,545,5924.0,0.3
2021,6,Mato Grosso,Centro-Oeste,Amazônia,395,3231.9,0.35
2021,6,Amazonas,Norte,Amazônia,161,3300.1,0.52
2021,6,Tocantins,Norte,Cerrado,190,2210.1,0.46
2021,6,Maranhão,Nordeste,Cerrado,249,2926.5,0.24
2021,6,Acre,Norte,Amazônia,113,1777.3,0.52
2021,6,Rondônia,Norte,Amazônia,115,2447.0,0.34
2021,6,Bahia,Nordeste,Caatinga,113,2277.9,0.41
2021,6,Goiás,Centro-Oeste,Cerrado,187,3590.0,0.38
2021,6,Minas Gerais,Sudeste,Cerrado,165,1940.6,0.37
2021,6,Mato Grosso do Sul,Centro-Oeste,Pantanal,192,2229.2,0.43
2021,6,Piauí,Nordeste,Caatinga,121,2635.6,0.36
2021,6,São Paulo,Sudeste,Mata Atlântica,96,1134.0,0.39
2021,6,Roraima,Norte,Amazônia,108,1278.4,0.3
2021,6,Amapá,Norte,Amazônia,103,2020.5,0.44
2021,7,Pará,Norte,Amazônia,640,10500.6,0.49
2021,7,Mato Grosso,Centro-Oeste,Amazônia,426,8861.6,0.46
2021,7,Amazonas,Norte,Amazônia,225,3434.6,0.31
2021,7,Tocantins,Norte,Cerrado,286,4703.0,0.43
2021,7,Maranhão,Nordeste,Cerrado,261,3142.9,0.3
2021,7,Acre,Norte,Amazônia,265,3222.3,0.34
2021,7,Rondônia,Norte,Amazônia,202,3492.9,0.63
2021,7,Bahia,Nordeste,Caatinga,186,2047.7,0.43
2021,7,Goiás,Centro-Oeste,Cerrado,208,3109.4,0.43
2021,7,Minas Gerais,Sudeste,Cerrado,178,3345.1,0.49
2021,7,Mato Grosso do Sul,Centro-Oeste,Pantanal,200,3527.5,0.56
2021,7,Piauí,Nordeste,Caatinga,123,2394.5,0.38
2021,7,São Paulo,Sudeste,Mata Atlântica,204,2409.2,0.49
2021,7,Roraima,Norte,Amazônia,104,965.3,0.51
2021,7,Amapá,Norte,Amazônia,108,1143.9,0.47
2021,8,Pará,Norte,Amazônia,1458,26610.2,0.54
2021,8,Mato Grosso,Centro-Oeste,Amazônia,1145,20257.2,0.62
2021,8,Amazonas,Norte,Amazônia,618,9178.5,0.58
2021,8,Tocantins,Norte,Cerrado,659,6938.0,0.55
2021,8,Maranhão,Nordeste,Cerrado,674,5712.3,0.54
2021,8,Acre,Norte,Amazônia,345,7224.8,0.62
2021,8,Rondônia,Norte,Amazônia,589,11676.2,0.52
2021,8,Bahia,Nordeste,Caatinga,429,3654.3,0.49
2021,8,Goiás,Centro-Oeste,Cerrado,347,3361.7,0.57
2021,8,Minas Gerais,Sudeste,Cerrado,534,6812.9,0.49
2021,8,Mato Grosso do Sul,Centro-Oeste,Pantanal,384,4767.0,0.54
2021,8,Piauí,Nordeste,Caatinga,431,5371.4,0.55
2021,8,São Paulo,Sudeste,Mata Atlântica,424,7047.8,0.55
2021,8,Roraima,Norte,Amazônia,310,6555.6,0.62
2021,8,Amapá,Norte,Amazônia,268,3652.0,0.48
2021,9,Pará,Norte,Amazônia,2054,41555.5,0.55
2021,9,Mato Grosso,Centro-Oeste,Amazônia,861,15778.8,0.43
2021,9,Amazonas,Norte,Amazônia,738,9568.0,0.55
2021,9,Tocantins,Norte,Cerrado,595,6706.0,0.49
2021,9,Maranhão,Nordeste,Cerrado,693,9272.7,0.59
2021,9,Acre,Norte,Amazônia,410,8732.8,0.63
2021,9,Rondônia,Norte,Amazônia,684,14518.8,0.56
2021,9,Bahia,Nordeste,Caatinga,617,6378.8,0.52
2021,9,Goiás,Centro-Oeste,Cerrado,568,9376.7,0.61
2021,9,Minas Gerais,Sudeste,Cerrado,437,4576.0,0.58
2021,9,Mato Grosso do Sul,Centro-Oeste,Pantanal,425,8038.5,0.53
2021,9,Piauí,Nordeste,Caatinga,370,7980.0,0.56
2021,9,São Paulo,Sudeste,Mata Atlântica,547,9706.1,0.53
2021,9,Roraima,Norte,Amazônia,385,4289.7,0.54
2021,9,Amapá,Norte,Amazônia,271,4417.6,0.45
2021,10,Pará,Norte,Amazônia,973,19736.8,0.53
2021,10,Mato Grosso,Centro-Oeste,Amazônia,867,17723.6,0.49
2021,10,Amazonas,Norte,Amazônia,692,10872.7,0.6
2021,10,Tocantins,Norte,Cerrado,555,7335.8,0.45
2021,10,Maranhão,Nordeste,Cerrado,638,9533.2,0.44
2021,10,Acre,Norte,Amazônia,364,7249.8,0.53
2021,10,Rondônia,Norte,Amazônia,171,2786.2,0.45
2021,10,Bahia,Nordeste,Caatinga,313,5475.1,0.6
2021,10,Goiás,Centro-Oeste,Cerrado,307,6232.4,0.55
2021,10,Minas Gerais,Sudeste,Cerrado,533,10611.0,0.61
2021,10,Mato Grosso do Sul,Centro-Oeste,Pantanal,406,8005.6,0.57
2021,10,Piauí,Nordeste,Caatinga,382,6364.3,0.61
2021,10,São Paulo,Sudeste,Mata Atlântica,304,6181.0,0.55
2021,10,Roraima,Norte,Amazônia,278,3528.3,0.53
2021,10,Amapá,Norte,Amazônia,180,3501.3,0.56
2021,11,Pará,Norte,Amazônia,576,4659.5,0.51
2021,11,Mato Grosso,Centro-Oeste,Amazônia,559,12150.8,0.29
2021,11,Amazonas,Norte,Amazônia,238,4016.5,0.47
2021,11,Tocantins,Norte,Cerrado,364,3457.2,0.43
2021,11,Maranhão,Nordeste,Cerrado,287,6165.3,0.53
2021,11,Acre,Norte,Amazônia,244,5135.8,0.29
2021,11,Rondônia,Norte,Amazônia,211,2577.0,0.42
2021,11,Bahia,Nordeste,Caatinga,160,2584.1,0.42
2021,11,Goiás,Centro-Oeste,Cerrado,264,2281.1,0.29
2021,11,Minas Gerais,Sudeste,Cerrado,256,2136.1,0.37
2021,11,Mato Grosso do Sul,Centro-Oeste,Pantanal,242,4251.0,0.4
2021,11,Piauí,Nordeste,Caatinga,111,2437.5,0.38
2021,11,São Paulo,Sudeste,Mata Atlântica,127,1306.9,0.23
2021,11,Roraima,Norte,Amazônia,160,1774.5,0.49
2021,11,Amapá,Norte,Amazônia,107,1836.5,0.36
2021,12,Pará,Norte,Amazônia,330,6999.5,0.27
2021,12,Mato Grosso,Centro-Oeste,Amazônia,389,5277.3,0.28
2021,12,Amazonas,Norte,Amazônia,219,2457.0,0.35
2021,12,Tocantins,Norte,Cerrado,133,2673.4,0.48
2021,12,Maranhão,Nordeste,Cerrado,180,1907.5,0.36
2021,12,Acre,Norte,Amazônia,127,2386.7,0.4
2021,12,Rondônia,Norte,Amazônia,149,2498.3,0.41
2021,12,Bahia,Nordeste,Caatinga,106,2030.1,0.42
2021,12,Goiás,Centro-Oeste,Cerrado,106,1033.8,0.36
2021,12,Minas Gerais,Sudeste,Cerrado,126,1361.7,0.51
2021,12,Mato Grosso do Sul,Centro-Oeste,Pantanal,98,1582.5,0.36
2021,12,Piauí,Nordeste,Caatinga,110,1358.0,0.31
2021,12,São Paulo,Sudeste,Mata Atlântica,98,883.4,0.36
2021,12,Roraima,Norte,Amazônia,79,1295.6,0.17
2021,12,Amapá,Norte,Amazônia,73,1463.0,0.28
2022,1,Pará,Norte,Amazônia,234,2664.9,0.35
2022,1,Mato Grosso,Centro-Oeste,Amazônia,345,6152.9,0.35
2022,1,Amazonas,Norte,Amazônia,149,1873.0,0.36
2022,1,Tocantins,Norte,Cerrado,119,1536.1,0.36
2022,1,Maranhão,Nordeste,Cerrado,111,1770.0,0.33
2022,1,Acre,Norte,Amazônia,116,1253.0,0.4
2022,1,Rondônia,Norte,Amazônia,141,1190.4,0.43
2022,1,Bahia,Nordeste,Caatinga,112,2261.7,0.38
2022,1,Goiás,Centro-Oeste,Cerrado,125,1594.0,0.4
2022,1,Minas Gerais,Sudeste,Cerrado,121,2352.5,0.43
2022,1,Mato Grosso do Sul,Centro-Oeste,Pantanal,128,1967.3,0.3
2022,1,Piauí,Nordeste,Caatinga,74,654.5,0.37
2022,1,São Paulo,Sudeste,Mata Atlântica,75,1515.4,0.31
2022,1,Roraima,Norte,Amazônia,57,1086.2,0.31
2022,1,Amapá,Norte,Amazônia,50,788.8,0.52
2022,2,Pará,Norte,Amazônia,202,4433.6,0.41
2022,2,Mato Grosso,Centro-Oeste,Amazônia,207,2234.3,0.36
2022,2,Amazonas,Norte,Amazônia,121,1019.9,0.36
2022,2,Tocantins,Norte,Cerrado,115,2317.9,0.21
2022,2,Maranhão,Nordeste,Cerrado,136,1898.1,0.42
2022,2,Acre,Norte,Amazônia,66,1440.6,0.23
2022,2,Rondônia,Norte,Amazônia,69,1252.6,0.51
2022,2,Bahia,Nordeste,Caatinga,87,1793.1,0.34
2022,2,Goiás,Centro-Oeste,Cerrado,65,1059.0,0.3
2022,2,Minas Gerais,Sudeste,Cerrado,129,2356.0,0.46
2022,2,Mato Grosso do Sul,Centro-Oeste,Pantanal,85,1761.7,0.29
2022,2,Piauí,Nordeste,Caatinga,61,1317.6,0.29
2022,2,São Paulo,Sudeste,Mata Atlântica,77,1146.7,0.32
2022,2,Roraima,Norte,Amazônia,66,939.5,0.32
2022,2,Amapá,Norte,Amazônia,26,423.8,0.36
2022,3,Pará,Norte,Amazônia,212,4573.2,0.25
2022,3,Mato Grosso,Centro-Oeste,Amazônia,220,2761.6,0.24
2022,3,Amazonas,Norte,Amazônia,114,2459.8,0.37
2022,3,Tocantins,Norte,Cerrado,81,731.3,0.32
2022,3,Maranhão,Nordeste,Cerrado,110,1399.0,0.24
2022,3,Acre,Norte,Amazônia,75,861.1,0.44
2022,3,Rondônia,Norte,Amazônia,115,1188.9,0.41
2022,3,Bahia,Nordeste,Caatinga,78,1142.3,0.44
2022,3,Goiás,Centro-Oeste,Cerrado,92,1489.9,0.38
2022,3,Minas Gerais,Sudeste,Cerrado,90,861.0,0.37
2022,3,Mato Grosso do Sul,Centro-Oeste,Pantanal,73,1126.9,0.34
2022,3,Piauí,Nordeste,Caatinga,62,1306.6,0.26
2022,3,São Paulo,Sudeste,Mata Atlântica,69,592.2,0.18
2022,3,Roraima,Norte,Amazônia,58,1168.7,0.38
2022,3,Amapá,Norte,Amazônia,48,712.5,0.11
2022,4,Pará,Norte,Amazônia,204,1717.6,0.38
2022,4,Mato Grosso,Centro-Oeste,Amazônia,247,2674.0,0.26
2022,4,Amazonas,Norte,Amazônia,140,1989.8,0.29
2022,4,Tocantins,Norte,Cerrado,117,2070.5,0.36
2022,4,Maranhão,Nordeste,Cerrado,115,1914.7,0.51
2022,4,Acre,Norte,Amazônia,88,741.4,0.43
